0,2026-07-13T15:03:02.299118
10485760,2026-07-13T15:03:02.679275
16457890,2026-07-13T15:03:02.851486
19258723,2026-07-13T15:03:02.924094
20517676,2026-07-13T15:03:02.959439
21156720,2026-07-13T15:03:02.977673
21476623,2026-07-13T15:03:02.987755
21622633,2026-07-13T15:03:02.994816
21710206,2026-07-13T15:03:03.000627
21777981,2026-07-13T15:03:03.004462
21816782,2026-07-13T15:03:04.395430
28610194,2026-07-13T15:03:04.539314
31077195,2026-07-13T15:03:04.592094
31853693,2026-07-13T15:03:04.607837
32136262,2026-07-13T15:03:04.611926
32204049,2026-07-13T15:03:04.614017
32233454,2026-07-13T15:03:04.615297
32243222,2026-07-13T15:03:04.616031
32243712,2026-07-13T15:03:04.617271
32253000,2026-07-13T15:03:04.619128
32272338,2026-07-13T15:03:06.119613
40729009,2026-07-13T15:03:06.656519
48738257,2026-07-13T15:03:07.308911
58433868,2026-07-13T15:03:07.919145
68919628,2026-07-13T15:03:08.633240
79405388,2026-07-13T15:03:09.337508
89891148,2026-07-13T15:03:10.037313
100376908,2026-07-13T15:03:10.742384
110862668,2026-07-13T15:03:11.443952
121348428,2026-07-13T15:03:12.153355
131834188,2026-07-13T15:03:12.853815
142319948,2026-07-13T15:03:13.556054
152805708,2026-07-13T15:03:14.274889
163291468,2026-07-13T15:03:14.982835
173777228,2026-07-13T15:03:15.692031
184262988,2026-07-13T15:03:16.397053
194748748,2026-07-13T15:03:17.098029
205234508,2026-07-13T15:03:17.801673
215720268,2026-07-13T15:03:18.511031
226206028,2026-07-13T15:03:19.216256
236691788,2026-07-13T15:03:19.913888
247177548,2026-07-13T15:03:20.614562
257663308,2026-07-13T15:03:21.316243
268149068,2026-07-13T15:03:22.015330
278634828,2026-07-13T15:03:22.731521
289120588,2026-07-13T15:03:23.439009
299606348,2026-07-13T15:03:24.138295
310092108,2026-07-13T15:03:24.835272
320577868,2026-07-13T15:03:25.534364
331063628,2026-07-13T15:03:26.222346
341549388,2026-07-13T15:03:26.908798
352035148,2026-07-13T15:03:27.601772
362520908,2026-07-13T15:03:28.301784
373006668,2026-07-13T15:03:28.998288
383492428,2026-07-13T15:03:29.663852
393978188,2026-07-13T15:03:30.246259
404463948,2026-07-13T15:03:30.858415
414949708,2026-07-13T15:03:31.470568
425435468,2026-07-13T15:03:32.147608
435921228,2026-07-13T15:03:32.837307
446406988,2026-07-13T15:03:33.519976
456892748,2026-07-13T15:03:34.166512
467378508,2026-07-13T15:03:34.787294
477864268,2026-07-13T15:03:35.347831
488350028,2026-07-13T15:03:35.886769
498835788,2026-07-13T15:03:36.458954
509321548,2026-07-13T15:03:37.030983
519807308,2026-07-13T15:03:37.620693
530293068,2026-07-13T15:03:38.210172
540778828,2026-07-13T15:03:38.900509
551264588,2026-07-13T15:03:39.590758
561750348,2026-07-13T15:03:40.291675
572236108,2026-07-13T15:03:40.985741
582721868,2026-07-13T15:03:41.680165
593207628,2026-07-13T15:03:42.370848
603693388,2026-07-13T15:03:43.059319
614179148,2026-07-13T15:03:43.753207
624664908,2026-07-13T15:03:44.445046
635150668,2026-07-13T15:03:45.134412
645636428,2026-07-13T15:03:45.727209
656122188,2026-07-13T15:03:46.266328
666607948,2026-07-13T15:03:46.819938
677093708,2026-07-13T15:03:47.501037
687579468,2026-07-13T15:03:48.172210
698065228,2026-07-13T15:03:48.786848
708550988,2026-07-13T15:03:49.501736
719036748,2026-07-13T15:03:50.165487
729522508,2026-07-13T15:03:50.896462
740008268,2026-07-13T15:03:51.601175
750494028,2026-07-13T15:03:52.247900
760979788,2026-07-13T15:03:52.866291
771465548,2026-07-13T15:03:53.477990
781951308,2026-07-13T15:03:54.153884
792437068,2026-07-13T15:03:54.794712
802922828,2026-07-13T15:03:55.468928
813408588,2026-07-13T15:03:56.181055
823894348,2026-07-13T15:03:56.850026
834380108,2026-07-13T15:03:57.523635
844865868,2026-07-13T15:03:58.216228
855351628,2026-07-13T15:03:58.887421
865837388,2026-07-13T15:03:59.588840
876323148,2026-07-13T15:04:00.256941
886808908,2026-07-13T15:04:00.878792
897294668,2026-07-13T15:04:01.509996
907780428,2026-07-13T15:04:02.168409
918266188,2026-07-13T15:04:02.862971
928751948,2026-07-13T15:04:03.559488
939237708,2026-07-13T15:04:04.258874
949723468,2026-07-13T15:04:04.903259
960209228,2026-07-13T15:04:05.476189
970694988,2026-07-13T15:04:06.015278
981180748,2026-07-13T15:04:06.504696
991666508,2026-07-13T15:04:06.975448
1002152268,2026-07-13T15:04:07.464820
1012638028,2026-07-13T15:04:07.994798
1023123788,2026-07-13T15:04:08.495900
1033609548,2026-07-13T15:04:08.988957
1044095308,2026-07-13T15:04:09.526247
1054581068,2026-07-13T15:04:10.039389
1065066828,2026-07-13T15:04:10.589342
1075552588,2026-07-13T15:04:10.663233
1076840821,2026-07-13T15:04:10.665097
1076842286,2026-07-13T15:08:02.102853
